,Remaining Day,Minimum,-2.0 S.D.,-1.5 S.D.,-1.0 S.D.,-0.5 S.D.,Median,Mean,+0.5 S.D.,+1.0 S.D.,+1.5 S.D.,+2.0 S.D.,Maximum
64,61,4.4753086419753085,1.9679399029652913,6.201965275288956,10.435990647612622,14.670016019936288,18.186058344640436,18.904041392259952,23.138066764583616,27.372092136907284,31.60611750923095,35.84014288155461,54.34782608695652
65,60,4.8172757475083055,1.4632937329038178,5.857913507749492,10.252533282595166,14.64715305744084,17.978862230230124,19.041772832286515,23.43639260713219,27.831012381977864,32.225632156823536,36.620251931669216,58.139534883720934
66,59,5.193905817174515,1.4018598026900513,5.901825462373138,10.401791122056224,14.90175678173931,18.610311059907836,19.401722441422397,23.901688101105485,28.40165376078857,32.901619420471654,37.401585080154746,58.8235294117647
67,58,5.034722222222222,1.9776615291869355,6.338702949073188,10.699744368959442,15.060785788845696,18.86481079504957,19.421827208731948,23.7828686286182,28.143910048504452,32.50495146839071,36.86599288827696,57.142857142857146
68,57,5.430847212165098,2.5107876140320045,6.85242879475893,11.194069975485856,15.535711156212782,18.87559371574717,19.87735233693971,24.218993517666632,28.56063469839356,32.90227587912049,37.24391705984741,57.142857142857146
69,56,5.338078291814947,2.152800826314504,6.591905012660305,11.031009199006107,15.470113385351908,18.5953588443215,19.90921757169771,24.34832175804351,28.787425944389312,33.226530130735114,37.665634317080915,57.80346820809248
70,55,5.2017654476670865,2.626580329473768,7.086046419536437,11.545512509599105,16.004978599661772,19.03568085302992,20.46444468972444,24.92391077978711,29.383376869849776,33.842842959912446,38.302309049975115,57.4712643678161
71,54,5.329780146568954,2.824946352828917,7.302154106249622,11.779361859670328,16.25656961309103,19.03807615230461,20.733777366511738,25.210985119932445,29.68819287335315,34.16540062677385,38.64260838019456,57.80346820809248
72,53,5.511022044088177,2.5355628978133957,7.0850220915917586,11.634481285370121,16.183940479148482,18.85453687143548,20.733399672926847,25.28285886670521,29.832318060483573,34.381777254261934,38.931236448040295,58.47953216374268
73,52,5.574324324324325,2.7951593061307527,7.331674174667402,11.868189043204053,16.404703911740704,18.964135323954444,20.941218780277353,25.477733648814002,30.01424851735065,34.55076338588731,39.08727825442395,58.139534883720934
74,51,5.978260869565218,3.5050269092273254,7.9299216004010695,12.354816291574812,16.779710982748554,19.35222672064777,21.2046056739223,25.629500365096042,30.054395056269783,34.47928974744353,38.90418443861727,54.6448087431694
75,50,6.508422664624809,3.6505952968749753,8.144680588238288,12.638765879601602,17.132851170964916,19.90779783621432,21.626936462328228,26.12102175369154,30.615107045054856,35.10919233641817,39.60327762778148,56.17977528089887
76,49,6.212349397590361,3.870221333996902,8.29738589814853,12.724550462300158,17.151715026451786,20.53282406089926,21.578879590603414,26.006044154755042,30.43320871890667,34.860373283058294,39.287537847209926,56.81818181818181
77,48,6.001500375093773,3.8381785142097016,8.359741788731652,12.881305063253603,17.40286833777555,20.496585552180964,21.924431612297504,26.445994886819456,30.967558161341405,35.48912143586335,40.010684710385306,57.142857142857146
78,47,6.156716417910448,4.77487752377635,9.12979082995694,13.48470413613753,17.839617442318122,20.716749940518678,22.19453074849871,26.5494440546793,30.90435736085989,35.25927066704048,39.614183973221074,55.24861878453038
79,46,7.071547420965059,4.847869051277264,9.236566270475631,13.625263489673998,18.013960708872364,21.571098671120318,22.40265792807073,26.791355147269098,31.180052366467464,35.56874958566583,39.9574468048642,56.17977528089889
80,45,6.54242664551943,4.758794979984689,9.229473806360568,13.700152632736447,18.17083145911233,21.468877456433077,22.641510285488206,27.112189111864083,31.582867938239964,36.053546764615845,40.52422559099172,57.142857142857146
81,44,7.191201353637902,4.234771748231264,8.909422984067355,13.584074219903448,18.25872545573954,21.468743931232563,22.93337669157563,27.608027927411722,32.28267916324781,36.95733039908391,41.631981634919995,59.880239520958085
82,43,7.4430823117338,3.7276065540062433,8.676228511124906,13.624850468243569,18.573472425362233,21.718389976958527,23.522094382480894,28.470716339599555,33.41933829671822,38.367960253836884,43.316582210955545,65.359477124183
83,42,7.417102966841187,3.4020449584829358,8.530508414435982,13.65897187038903,18.787435326342077,22.21015549991528,23.915898782295123,29.04436223824817,34.172825694201215,39.30128915015426,44.429752606107314,68.4931506849315
84,41,7.456140350877193,2.3873806077614965,7.740128023041429,13.092875438321359,18.44562285360129,22.44592645998558,23.79837026888122,29.151117684161154,34.503865099441086,39.856612514721014,45.20935993000094,72.46376811594203
85,40,7.643884892086332,2.2412087949325077,7.6712422667893705,13.101275738646233,18.531309210503096,22.353806178973215,23.96134268235996,29.39137615421682,34.82140962607369,40.25144309793055,45.68147656978741,73.52941176470588
86,39,7.678410117434508,2.07023849865935,7.565341802248174,13.060445105837,18.555548409425825,22.359373172728336,24.05065171301465,29.545755016603472,35.0408583201923,40.53596162378112,46.03106492736995,74.6268656716418
87,38,8.365200764818356,2.4627300545419537,7.97487184152979,13.487013628517628,18.999155415505466,22.97384471029791,24.511297202493303,30.02343898948114,35.535580776468976,41.047722563456816,46.559864350444656,75.18796992481202
88,37,8.40751730959446,2.6572318582567007,8.303187146070044,13.94914243388339,19.595097721696735,23.660588068985017,25.24105300951008,30.887008297323423,36.53296358513677,42.17891887295011,47.82487416076346,76.92307692307692
89,36,9.454949944382646,1.8217098739187634,7.6842910897080685,13.54687230549737,19.40945352128667,23.434609692933776,25.272034737075977,31.134615952865282,36.99719716865458,42.859778384443885,48.72235960023319,81.30081300813008
90,35,9.906759906759907,2.899301797640561,8.540552059489393,14.181802321338221,19.82305258318705,23.407203511353295,25.46430284503588,31.105553106884713,36.74680336873354,42.38805363058237,48.0293038924312,78.74015748031496
91,34,10.58530510585305,3.013292200117334,8.672476677615272,14.33166115511321,19.990845632611148,24.25756662648989,25.650030110109086,31.309214587607023,36.96839906510496,42.6275835426029,48.28676802010084,80.64516129032258
92,33,11.953551912568306,4.748854052570014,10.037744253777394,15.326634454984772,20.61552465619215,24.126915055640758,25.90441485739953,31.19330505860691,36.48219525981429,41.77108546102167,47.05997566222905,72.99270072992701
93,32,12.376237623762377,2.332596666840555,8.298316033748169,14.26403540065578,20.229754767563392,24.889136904761905,26.195474134471006,32.16119350137862,38.12691286828623,44.09263223519385,50.05835160210145,84.03361344537817
94,31,12.220670391061454,2.3969140831584603,8.389162679328244,14.381411275498028,20.37365987166781,24.707479805712474,26.365908467837595,32.35815706400738,38.35040566017716,44.34265425634695,50.334902852516734,81.96721311475409
95,30,13.177710843373493,3.1676285156311828,9.162424442354517,15.157220369077855,21.15201629580119,25.81085160984236,27.146812222524527,33.141608149247865,39.1364040759712,45.13120000269454,51.12599592941787,81.9672131147541
96,29,13.56050069541029,3.1133586216684215,9.211236249130582,15.309113876592743,21.406991504054904,26.558073654390938,27.504869131517065,33.60274675897922,39.70062438644139,45.798502013903544,51.89637964136571,81.9672131147541
